i	j	x	r	mach	theta	press	temp
46	46	0.903815	0.863984	1.90239	17.0593	44.6523	3084.32
47	46	0.919998	0.859766	1.90817	17.0415	44.2357	3078.18
48	46	0.936729	0.855433	1.91443	17.0137	43.7878	3071.53
49	46	0.953525	0.85111	1.92073	16.9852	43.3407	3064.84
50	46	0.970259	0.84683	1.92698	16.9583	42.9021	3058.22
51	46	0.987543	0.842437	1.93371	16.9213	42.4334	3051.08
52	46	1.00452	0.838148	1.94016	16.8904	41.9886	3044.26
53	46	1.02175	0.833822	1.94685	16.8548	41.5325	3037.19
54	46	1.03946	0.829402	1.95396	16.8103	41.0516	3029.68
55	46	1.05673	0.825117	1.96069	16.7737	40.6015	3022.59
56	46	1.07429	0.820787	1.96769	16.7315	40.138	3015.22
57	46	1.09232	0.816369	1.97512	16.6805	39.6516	3007.42
58	46	1.11005	0.812047	1.9823	16.6343	39.1863	2999.88
59	46	1.12774	0.807759	1.98947	16.5878	38.7262	2992.35
60	46	1.14594	0.803372	1.99712	16.5315	38.2412	2984.35
61	46	1.16431	0.798968	2.00495	16.4711	37.7507	2976.17
62	46	1.1819	0.794773	2.01214	16.4231	37.305	2968.66
63	46	1.20013	0.79045	2.01992	16.3626	36.828	2960.55
64	46	1.21866	0.786074	2.02802	16.2951	36.3376	2952.13
65	46	1.23696	0.781776	2.03597	16.2301	35.8624	2943.88
66	46	1.25483	0.777599	2.0436	16.1703	35.411	2935.96
67	46	1.27321	0.773322	2.05174	16.0997	34.9356	2927.54
68	46	1.2918	0.769016	2.06012	16.0233	34.4521	2918.87
69	46	1.31014	0.764786	2.06837	15.9484	33.9824	2910.37
70	46	1.3267	0.76098	2.07572	15.884	33.5691	2902.81
71	46	1.33091	0.760016	2.07826	15.8459	33.427	2900.19
72	46	1.33757	0.758489	2.08191	15.7981	33.2246	2896.45
73	46	1.34653	0.756436	2.08648	15.7438	32.9719	2891.75
74	46	1.35698	0.754047	2.09127	15.6977	32.7095	2886.84
75	46	1.37004	0.751067	2.09723	15.6408	32.3854	2880.74
