i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
22	1	0.0265139	0.948177	1.1094	0.526141	140.77	3937.09	0.00224245	5.33233
23	1	0.0288644	0.943384	1.10796	0.559505	141.016	3938.55	0.00224552	5.27844
24	1	0.0313149	0.93836	1.10655	0.592433	141.256	3939.98	0.00224854	5.22221
25	1	0.0338654	0.933103	1.10517	0.624779	141.491	3941.37	0.00225148	5.16368
26	1	0.0365158	0.927612	1.10384	0.656403	141.718	3942.72	0.00225433	5.10285
27	1	0.0392662	0.921885	1.10256	0.687175	141.937	3944.01	0.00225706	5.03976
28	1	0.0421165	0.91592	1.10134	0.716973	142.145	3945.24	0.00225967	4.97444
29	1	0.0450666	0.909718	1.10019	0.745683	142.342	3946.4	0.00226213	4.90694
30	1	0.0481165	0.903277	1.09911	0.773205	142.526	3947.48	0.00226444	4.83731
31	1	0.051266	0.896599	1.09811	0.799447	142.697	3948.49	0.00226658	4.7656
32	1	0.0545151	0.889682	1.0972	0.824327	142.853	3949.41	0.00226853	4.69188
33	1	0.0578636	0.88253	1.09637	0.847777	142.994	3950.24	0.00227029	4.61621
34	1	0.0613114	0.875143	1.09565	0.869737	143.119	3950.97	0.00227185	4.53869
35	1	0.0648582	0.867523	1.09502	0.89016	143.227	3951.6	0.0022732	4.45938
36	1	0.0685039	0.859674	1.09449	0.909009	143.318	3952.13	0.00227434	4.3784
37	1	0.0722482	0.851598	1.09406	0.926258	143.391	3952.56	0.00227525	4.29582
38	1	0.0760909	0.8433	1.09374	0.941891	143.446	3952.88	0.00227594	4.21177
39	1	0.0800317	0.834783	1.09353	0.955902	143.483	3953.1	0.0022764	4.12635
40	1	0.0840702	0.826053	1.09341	0.968294	143.501	3953.21	0.00227663	4.03968
41	1	0.0882062	0.817114	1.09341	0.979078	143.502	3953.22	0.00227665	3.95187
42	1	0.0924391	0.807972	1.09351	0.988276	143.486	3953.12	0.00227644	3.86304
