i	XD	ThetaCalc	ThetaE	xE	rE	Err
12	0.815809	8.17963	19.6092	0.815809	0.96744	1.39732
13	0.891955	7.55513	19.2642	0.891955	0.962161	1.54982
14	0.946754	7.0871	19.0102	0.946754	0.958673	1.68237
15	1.00234	6.60159	18.7546	1.00234	0.955384	1.84093
16	1.05857	6.09619	18.4953	1.05857	0.9523	2.03391
17	1.11523	5.57221	18.2338	1.11523	0.949427	2.27227
18	1.16125	5.12812	18.0146	1.16125	0.947255	2.51291
19	1.20783	4.66352	17.7892	1.20783	0.945192	2.81454
20	1.25473	4.17953	17.5587	1.25473	0.943244	3.20112
21	1.30184	3.67563	17.3234	1.30184	0.941405	3.71303
22	1.34849	3.16308	17.0908	1.34849	0.939692	4.40319
23	1.39535	2.62282	16.8486	1.39535	0.938069	5.42385
24	1.4371	2.1178	16.6252	1.4371	0.936694	6.85025
25	1.47759	1.61407	16.4083	1.47759	0.935416	9.16577
26	1.51511	1.12362	16.1992	1.51511	0.934273	13.417
27	1.54993	0.649855	16.0005	1.54993	0.933241	23.6216
28	1.58296	0.187007	15.8105	1.58296	0.932283	83.5448
29	1.61192	-0.240268	15.6361	1.61192	0.931454	66.0776
i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.559561	7.56107	29.1516	0.559561	1.13698	2.85548
2	0.632541	7.00023	28.2259	0.632541	1.14101	3.03214
3	0.711171	6.36202	27.3377	0.711171	1.14576	3.29702
4	0.795405	5.64629	26.4819	0.795405	1.15128	3.69014
5	0.885091	4.85296	25.6567	0.885091	1.15759	4.28682
6	0.971005	4.19856	25.0512	0.971005	1.1641	4.96663
7	1.05814	3.52754	24.4925	1.05814	1.17119	5.94324
8	1.12196	2.99893	24.0881	1.12196	1.17668	7.03223
9	1.18613	2.4625	23.7058	1.18613	1.18243	8.62674
10	1.25107	1.90285	23.3326	1.25107	1.18848	11.262
11	1.31682	1.31508	22.9653	1.31682	1.19481	16.4631
12	1.37044	0.812263	22.6686	1.37044	1.20012	26.908
13	1.42472	0.285448	22.3733	1.42472	1.20561	77.3796
14	1.47922	-0.260633	22.0827	1.47922	1.21123	85.7271
i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.456315	12.182	23.5651	0.456315	1.08062	0.934421
2	0.515981	11.6783	23.0513	0.515981	1.0739	0.973861
3	0.580493	11.1279	22.5153	0.580493	1.067	1.02331
4	0.649693	10.5317	21.9636	0.649693	1.05998	1.08548
5	0.723467	9.88783	21.3995	0.723467	1.05292	1.16422
6	0.801615	9.19584	20.8276	0.801615	1.04587	1.26489
7	0.876737	8.6218	20.4362	0.876737	1.03955	1.3703
8	0.952717	8.04104	20.0669	0.952717	1.03363	1.49556
9	1.00807	7.59304	19.7834	1.00807	1.02962	1.60547
10	1.06361	7.14225	19.5119	1.06361	1.02582	1.7319
11	1.11964	6.67737	19.2407	1.11964	1.02221	1.88148
12	1.17614	6.19517	18.9672	1.17614	1.0188	2.06161
13	1.22202	5.78819	18.7395	1.22202	1.01618	2.23754
14	1.26831	5.3664	18.5087	1.26831	1.01366	2.44899
15	1.31462	4.93375	18.2776	1.31462	1.01127	2.7046
16	1.36105	4.48617	18.0432	1.36105	1.00898	3.02196
17	1.40753	4.02152	17.8043	1.40753	1.0068	3.42726
18	1.4542	3.53411	17.5572	1.4542	1.0047	3.96793
19	1.49495	3.09664	17.3409	1.49495	1.00293	4.5999
20	1.53519	2.64702	17.1216	1.53519	1.00125	5.46826
21	1.57214	2.21744	16.915	1.57214	0.999746	6.62816
22	1.60598	1.8129	16.7242	1.60598	0.998399	8.22513
23	1.63849	1.41024	16.5369	1.63849	0.997129	10.7263
24	1.66652	1.04903	16.3704	1.66652	0.996048	14.6053
25	1.68888	0.755647	16.2374	1.68888	0.995193	20.4881
26	1.70285	0.561168	16.1481	1.70285	0.994662	27.7759
27	1.73191	0.167669	15.9747	1.73191	0.99356	94.2749
28	1.73444	0.121738	15.9517	1.73444	0.993465	130.033
29	1.73825	0.0574194	15.9206	1.73825	0.99332	276.268
30	1.74267	-0.011893	15.8884	1.74267	0.993152	1336.94
i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.311392	16.8676	16.9004	0.311392	1.03708	0.00194471
2	0.3541	16.5692	16.645	0.3541	1.02242	0.00457631
3	0.401056	16.2282	16.3462	0.401056	1.0066	0.00727638
4	0.452098	15.848	16.013	0.452098	0.989727	0.0104103
5	0.507037	15.4319	15.6532	0.507037	0.971937	0.0143404
6	0.565687	14.9813	15.2717	0.565687	0.953347	0.0193821
7	0.627889	14.4962	14.8705	0.627889	0.934064	0.0258155
8	0.693418	13.9776	14.4533	0.693418	0.914208	0.0340269
9	0.756855	13.5512	14.2034	0.756855	0.89545	0.0481327
10	0.82087	13.1202	13.9678	0.82087	0.877013	0.0646064
11	0.867217	12.7884	13.775	0.867217	0.863966	0.0771495
12	0.913632	12.4555	13.5906	0.913632	0.851144	0.0911317
13	0.960299	12.1133	13.4029	0.960299	0.838495	0.106465
14	1.00718	11.7599	13.2095	1.00718	0.826025	0.123263
15	1.04506	11.4633	13.0436	1.04506	0.816119	0.137859
16	1.08313	11.1575	12.8724	1.08313	0.806309	0.153699
17	1.12107	10.8458	12.6987	1.12107	0.796669	0.170847
18	1.15894	10.5254	12.5194	1.15894	0.787184	0.189438
19	1.19665	10.1955	12.3328	1.19665	0.777862	0.209634
20	1.23428	9.85263	12.1355	1.23428	0.76868	0.231697
21	1.26698	9.54749	11.9608	1.26698	0.760789	0.252766
22	1.29907	9.23686	11.7805	1.29907	0.753121	0.275384
23	1.32835	8.94299	11.6079	1.32835	0.746184	0.297993
24	1.35503	8.6687	11.447	1.35503	0.739908	0.320502
25	1.38051	8.39829	11.2871	1.38051	0.733952	0.343971
26	1.40232	8.15808	11.1428	1.40232	0.728879	0.365859
27	1.41966	7.96441	11.0272	1.41966	0.724861	0.384554
28	1.43037	7.8372	10.9477	1.43037	0.722384	0.396894
29	1.45278	7.58065	10.7956	1.45278	0.717219	0.424101
30	1.4546	7.55146	10.7737	1.4546	0.716799	0.426699
31	1.45741	7.51045	10.7445	1.45741	0.716154	0.430609
32	1.46071	7.46609	10.7149	1.46071	0.715393	0.435142
33	1.46506	7.40846	10.6769	1.46506	0.714391	0.441182
34	1.46998	7.34596	10.6373	1.46998	0.71326	0.448047
35	1.47729	7.25778	10.5841	1.47729	0.711579	0.458315
36	1.48391	7.17582	10.534	1.48391	0.710056	0.467982
37	1.49072	7.09433	10.4859	1.49072	0.708494	0.478065
38	1.49841	6.99961	10.429	1.49841	0.706727	0.489941
39	1.50628	6.90404	10.3727	1.50628	0.704924	0.502415
40	1.51418	6.80914	10.318	1.51418	0.703112	0.515308
41	1.52211	6.71405	10.2635	1.52211	0.701298	0.528667
42	1.52985	6.62155	10.2113	1.52985	0.699527	0.542126
43	1.53762	6.52771	10.1581	1.53762	0.697754	0.556146
44	1.54509	6.43842	10.1085	1.54509	0.696047	0.570023
45	1.55258	6.34832	10.0585	1.55258	0.694338	0.58443
46	1.56533	6.19382	9.97308	1.56533	0.691434	0.610166
47	1.57348	6.09274	9.91658	1.57348	0.68958	0.627606
48	1.58208	5.98307	9.85438	1.58208	0.687624	0.647043
